brick_id,x,y,z,theta,drop_offset,x_overshoot
B1,15.26,0.0,0.0,0.0,0.0,0.0
B2,75.44,0.0,0.0,0.0,16.0,10.0
B3,135.62,0.0,0.0,0.0,16.0,10.0
B4,195.8,0.0,0.0,0.0,16.0,10.0
B5,255.98,0.0,0.0,0.0,16.0,10.0
B6,316.16,0.0,0.0,0.0,16.0,10.0
B7,376.34,0.0,0.0,0.0,16.0,10.0
B8,436.52,0.0,0.0,0.0,16.0,10.0
B9,496.7,0.0,0.0,0.0,16.0,10.0
B10,556.88,0.0,0.0,0.0,16.0,10.0
B11,617.06,0.0,0.0,0.0,16.0,10.0
B12,677.24,0.0,0.0,0.0,16.0,10.0
B13,737.42,0.0,0.0,0.0,16.0,10.0
B14,33.87,0.0,39.5,45.0,0.0,0.0
B15,118.64,0.0,39.5,45.0,16.0,10.0
B16,203.41,0.0,39.5,45.0,16.0,10.0
B17,288.18,0.0,39.5,45.0,16.0,10.0
B18,372.95,0.0,39.5,45.0,16.0,10.0
B19,457.72,0.0,39.5,45.0,16.0,10.0
B20,542.49,0.0,39.5,45.0,16.0,10.0
B21,627.26,0.0,39.5,45.0,16.0,10.0
B22,712.03,0.0,39.5,45.0,16.0,10.0
B23,34.03,0.0,79.0,-45.0,0.0,0.0
B24,118.8,0.0,79.0,-45.0,16.0,10.0
B25,203.57,0.0,79.0,-45.0,16.0,10.0
B26,288.34,0.0,79.0,-45.0,16.0,10.0
B27,373.11,0.0,79.0,-45.0,16.0,10.0
B28,457.88,0.0,79.0,-45.0,16.0,10.0
B29,542.65,0.0,79.0,-45.0,16.0,10.0
B30,627.42,0.0,79.0,-45.0,16.0,10.0
B31,712.19,0.0,79.0,-45.0,16.0,10.0
B32,56.59,0.0,118.5,90.0,0.0,0.0
B33,184.59,0.0,118.5,90.0,0.0,10.0
B34,312.59,0.0,118.5,90.0,0.0,10.0
B35,440.59,0.0,118.5,90.0,0.0,10.0
B36,568.59,0.0,118.5,90.0,0.0,10.0
B37,696.59,0.0,118.5,90.0,0.0,10.0
B38,26.25,0.0,158.0,90.0,0.0,0.0
B39,154.25,0.0,158.0,90.0,0.0,10.0
B40,282.25,0.0,158.0,90.0,0.0,10.0
B41,376.34,0.0,158.0,0.0,16.0,10.0
B42,470.43,0.0,158.0,90.0,0.0,10.0
B43,598.43,0.0,158.0,90.0,0.0,10.0
B44,726.43,0.0,158.0,90.0,0.0,10.0
B45,63.75,0.0,197.5,90.0,0.0,0.0
B46,191.75,0.0,197.5,90.0,0.0,10.0
B47,286.07,0.0,197.5,0.0,16.0,10.0
B48,346.25,0.0,197.5,0.0,16.0,10.0
B49,406.43,0.0,197.5,0.0,16.0,10.0
B50,466.61,0.0,197.5,0.0,16.0,10.0
B51,560.72,0.0,197.5,90.0,0.0,10.0
B52,688.72,0.0,197.5,90.0,0.0,10.0
B53,33.75,0.0,237.0,90.0,0.0,0.0
B54,161.75,0.0,237.0,90.0,0.0,10.0
B55,255.98,0.0,237.0,0.0,16.0,10.0
B56,316.16,0.0,237.0,0.0,16.0,10.0
B57,376.34,0.0,237.0,0.0,16.0,10.0
B58,436.52,0.0,237.0,0.0,16.0,10.0
B59,496.7,0.0,237.0,0.0,16.0,10.0
B60,590.72,0.0,237.0,90.0,0.0,10.0
B61,718.72,0.0,237.0,90.0,0.0,10.0
B62,0.0,0.0,276.5,90.0,0.0,0.0
B63,128.0,0.0,276.5,90.0,0.0,10.0
B64,222.23,0.0,276.5,0.0,16.0,10.0
B65,282.41,0.0,276.5,0.0,16.0,10.0
B66,376.59,0.0,276.5,90.0,0.0,10.0
B67,470.84,0.0,276.5,0.0,16.0,10.0
B68,531.02,0.0,276.5,0.0,16.0,10.0
B69,624.97,0.0,276.5,90.0,0.0,10.0
B70,752.97,0.0,276.5,90.0,0.0,10.0
B71,0.0,0.0,316.0,90.0,0.0,0.0
B72,128.0,0.0,316.0,90.0,0.0,10.0
B73,222.23,0.0,316.0,0.0,16.0,10.0
B74,282.41,0.0,316.0,0.0,16.0,10.0
B75,376.59,0.0,316.0,90.0,0.0,10.0
B76,470.84,0.0,316.0,0.0,16.0,10.0
B77,531.02,0.0,316.0,0.0,16.0,10.0
B78,624.97,0.0,316.0,90.0,0.0,10.0
B79,752.97,0.0,316.0,90.0,0.0,10.0
B80,64.18,0.0,355.5,90.0,0.0,0.0
B81,158.41,0.0,355.5,0.0,16.0,10.0
B82,218.59,0.0,355.5,0.0,16.0,10.0
B83,312.59,0.0,355.5,90.0,0.0,10.0
B84,440.59,0.0,355.5,90.0,0.0,10.0
B85,534.77,0.0,355.5,0.0,16.0,10.0
B86,594.95,0.0,355.5,0.0,16.0,10.0
B87,689.04,0.0,355.5,90.0,0.0,10.0
B88,98.23,0.0,395.0,0.0,0.0,0.0
B89,158.41,0.0,395.0,0.0,16.0,10.0
B90,252.51,0.0,395.0,90.0,0.0,10.0
B91,346.5,0.0,395.0,0.0,16.0,10.0
B92,406.68,0.0,395.0,0.0,16.0,10.0
B93,500.87,0.0,395.0,90.0,0.0,10.0
B94,594.95,0.0,395.0,0.0,16.0,10.0
B95,655.13,0.0,395.0,0.0,16.0,10.0
B96,98.23,0.0,434.5,0.0,0.0,0.0
B97,158.41,0.0,434.5,0.0,16.0,10.0
B98,252.51,0.0,434.5,90.0,0.0,10.0
B99,346.5,0.0,434.5,0.0,16.0,10.0
B100,406.68,0.0,434.5,0.0,16.0,10.0
B101,500.87,0.0,434.5,90.0,0.0,10.0
B102,594.95,0.0,434.5,0.0,16.0,10.0
B103,655.13,0.0,434.5,0.0,16.0,10.0
B104,124.51,0.0,474.0,90.0,0.0,0.0
B105,252.51,0.0,474.0,90.0,0.0,10.0
B106,346.5,0.0,474.0,0.0,16.0,10.0
B107,406.68,0.0,474.0,0.0,16.0,10.0
B108,500.87,0.0,474.0,90.0,0.0,10.0
B109,628.87,0.0,474.0,90.0,0.0,10.0
B110,132.01,0.0,513.5,90.0,0.0,0.0
B111,226.14,0.0,513.5,0.0,16.0,10.0
B112,286.32,0.0,513.5,0.0,16.0,10.0
B113,346.5,0.0,513.5,0.0,16.0,10.0
B114,406.68,0.0,513.5,0.0,16.0,10.0
B115,466.86,0.0,513.5,0.0,16.0,10.0
B116,527.04,0.0,513.5,0.0,16.0,10.0
B117,621.37,0.0,513.5,90.0,0.0,10.0
B118,132.01,0.0,553.0,90.0,0.0,0.0
B119,226.14,0.0,553.0,0.0,16.0,10.0
B120,286.32,0.0,553.0,0.0,16.0,10.0
B121,346.5,0.0,553.0,0.0,16.0,10.0
B122,406.68,0.0,553.0,0.0,16.0,10.0
B123,466.86,0.0,553.0,0.0,16.0,10.0
B124,527.04,0.0,553.0,0.0,16.0,10.0
B125,621.37,0.0,553.0,90.0,0.0,10.0
